Cheonggyecheon,River through the heart of Seoul,Unfortunately this year no Christmas lights which last year were stunning but still a nice walk in the evening along the river.,November 2020,50
Cheonggyecheon,Calming stream in a busy city,"This area is picturesque and pretty for a stroll. At night, lights are switched on and very colourful.",October 2019,50
Cheonggyecheon,Cheonggyecheon Stream,"Visiting Cheonggyecheon is a must if you go to Korea. It's an 11 km long modern stream that runs through downtown Seoul. The stream starts from Cheonggye Plaza, a popular cultural arts venue, and passes under more than 20 bridges before flowing into the Hangang (River), with many attractions along its length.",October 2019,40
Cheonggyecheon,Small river,its great a small river in the middle of the city. You can sit and put you food in the water and drink something and relax during your trip.,September 2019,50
Cheonggyecheon,Great picture spot,"From a walking distance of Jonggak station you will found Cheonggycheon stream. It’s a 10 km long modern public space in downtown Seoul. It’s a great place to chill and get away from the city's fast paced life. Depending on the time of the year, there’s different exhibitions. It’s definitely good place for pictures.",October 2019,50
Cheonggyecheon,Mesmerizing,"Best time to go there at night. When we went there, it was around the Christmas season and the stream is adorned with colorful lanterns. Very festive!",November 2019,50
Cheonggyecheon,Not many street light,"Beautiful little stream with people walking and jogging around. However if you go there during the night, it can be a bit scary as the street light is not much in terms of quantity and brightness. But don't worry as local people here are very nice and friendly. It is also peaceful to walk during the night.",October 2019,40
Cheonggyecheon,great,for decades it was a huge hideous overpass but is now a nice modern park thanks to president lee myung bak. i guess that's an improvement,February 2020,50
Cheonggyecheon,Peaceful little stream...,"Peaceful little stream in the middle of the busy city! There's something that happens when you walk down those steps and get next to the stream. All of a sudden, you're not in a busy city. You're strolling along a peaceful stream. Beautiful spot",September 2019,50
Cheonggyecheon,Love the serenity in the middle of a busy city!,"Very fun detour from the middle of a crowed city. We were there on New Years Eve so it was quite crowded, however I have been before and it is a nice place for a break.",January 2020,50
Cheonggyecheon,Cheonggyechon Stream,"We stumbled onto this stream by chance when we were touring the Myeongdong shopping area. This is a delightful stream that runs about 10 kilometers through pretty much downtown Seoul. I understand that prior to 2005, the stream was polluted. So now this area has been cleaned up and converted into an art and nature walkway. It is a wonderful area to walk along the stream. It is a relaxing stroll, has nice greenery and art work along the way. You can even cross over onto the other side where there are stepping stones. I would say it is a nice area for city workers to have lunch in, great for families and romantic couples alike.",November 2019,40
Cheonggyecheon,Man made attraction,It is quite nice man made attraction at the middle of the city. People just walk along the stream enjoying scenery.,January 2020,50
Cheonggyecheon,Great place to take a break and relax,This stream is beautiful and offers a nice reprieve from the hustle of the city. Go at night to see it lit up.,January 2020,50
Cheonggyecheon,On the way,"You won’t miss this if you’re walking from kwangjang market. Pop by for a quick photo, beautiful reflection of the sky in the stream.",January 2020,50
Cheonggyecheon,calming,"in the midst of tall buildings, and city noise, this is a true peaceful oasis, with ti s cute colorful umbrellas and art display installations,and peaceful water sounds. very sweet and beautiful spot.",September 2019,50
Myeongdong Shopping Street,Street food Paradise!!,"Myeongdong is filled with street food of all colors, sizes and tastes.
I was brought here every night by my local friends.
You literally can buy and eat anything from this street!
It’s a MUST!",October 2019,50
